ID_FC,FC,FC Age,FC Age Minimum,FC Age Maximum,FC Age Category,FC estimate Biological Sex,FC (point estimate) height,FC height min estimated,FC height max estimated,FC Recovery Location,FC Estimated Date of Death/Burial,FC Recovery Date,Unnamed: 0,Name,Age,Sex,Personal effects,ID_MP,biolsex_score,age_v1_score,age_v2_score,Final Score T1,Final Score T2
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,462,"808,0000",39,Female,2.0,MP-463,0.98871604,0.02127824,0.03927792,0.0210381371909696,0.038834709521836805
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,741,"831,0000",38,Female,2.0,MP-742,0.98871604,0.02127785,0.03618303,0.021037751591714,0.0357747421368012
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,945,"902,0000",38,Female,1.0,MP-946,0.98871604,0.02127785,0.03618303,0.021037751591714,0.0357747421368012
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,638,"937,0000",38,Female,1.0,MP-639,0.98871604,0.02127785,0.03618303,0.021037751591714,0.0357747421368012
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,107,"767,0000",46,Female,1.0,MP-108,0.98871604,0.02061314,0.03393171,0.0203805421527656,0.0335488259416284
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,55,"761,0000",46,Female,2.0,MP-56,0.98871604,0.02061314,0.03393171,0.0203805421527656,0.0335488259416284
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,22,"813,0000",47,Female,1.0,MP-23,0.98871604,0.0204743,0.03357261,0.020243268817772,0.033193778011664406
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,426,"820,0000",47,Female,2.0,MP-427,0.98871604,0.0204743,0.03357261,0.020243268817772,0.033193778011664406
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,54,"806,0000",47,Female,2.0,MP-55,0.98871604,0.0204743,0.03357261,0.020243268817772,0.033193778011664406
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,452,"816,0000",48,Female,1.0,MP-453,0.98871604,0.02030153,0.03298208,0.0200724483475412,0.0326099115285632
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,529,"811,0000",48,Female,2.0,MP-530,0.98871604,0.02030153,0.03298208,0.0200724483475412,0.0326099115285632
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,1057,"75172,0000",48,Female,,MP-1058,0.98871604,0.02030153,0.03298208,0.0200724483475412,0.0326099115285632
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,304,"939,0000",49,Female,1.0,MP-305,0.98871604,0.0200919,0.03217175,0.019865183804076,0.03180872525987
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,1023,"30738,0000",49,Female,,MP-1024,0.98871604,0.0200919,0.03217175,0.019865183804076,0.03180872525987
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,627,"896,0000",49,Female,2.0,MP-628,0.98871604,0.0200919,0.03217175,0.019865183804076,0.03180872525987
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,1055,"73438,0000",51,Female,,MP-1056,0.98871604,0.01954987,0.02995872,0.019329270048914802,0.0296206670018688
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,465,"812,0000",36,Female,2.0,MP-466,0.98871604,0.02127514,0.02888953,0.021035072171245603,0.0285635416990612
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,467,"823,0000",36,Female,2.0,MP-468,0.98871604,0.02127514,0.02888953,0.021035072171245603,0.0285635416990612
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,21,"793,0000",52,Female,1.0,MP-22,0.98871604,0.0192116,0.02859819,0.018994817074064,0.0282754891679676
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,700,"757,0000",52,Female,2.0,MP-701,0.98871604,0.0192116,0.02859819,0.018994817074064,0.0282754891679676
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,448,"890,0000",52,Female,1.0,MP-449,0.98871604,0.0192116,0.02859819,0.018994817074064,0.0282754891679676
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,624,"839,0000",53,Female,1.0,MP-625,0.98871604,0.01882509,0.02710099,0.0186126684374436,0.0267951835128796
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,589,"907,0000",53,Female,2.0,MP-590,0.98871604,0.01882509,0.02710099,0.0186126684374436,0.0267951835128796
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,930,"764,0000",53,Female,2.0,MP-931,0.98871604,0.01882509,0.02710099,0.0186126684374436,0.0267951835128796
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,303,"794,0000",54,Female,2.0,MP-304,0.98871604,0.01838841,0.02549399,0.0181809159170964,0.0252063168365996
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,446,"778,0000",54,Female,2.0,MP-447,0.98871604,0.01838841,0.02549399,0.0181809159170964,0.0252063168365996
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,732,"777,0000",54,Female,1.0,MP-733,0.98871604,0.01838841,0.02549399,0.0181809159170964,0.0252063168365996
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,371,"840,0000",35,Female,2.0,MP-372,0.98871604,0.02127136,0.02493813,0.0210313348246144,0.0246567291386052
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,241,"771,0000",35,Female,2.0,MP-242,0.98871604,0.02127136,0.02493813,0.0210313348246144,0.0246567291386052
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,444,"799,0000",55,Female,2.0,MP-445,0.98871604,0.01790034,0.02380503,0.017698353279453603,0.023536414993681202
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,928,"834,0000",55,Female,1.0,MP-929,0.98871604,0.01790034,0.02380503,0.017698353279453603,0.023536414993681202
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,205,"829,0000",56,Female,2.0,MP-206,0.98871604,0.01736055,0.02206217,0.017164654248222,0.0218132213562068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,352,"835,0000",56,Female,2.0,MP-353,0.98871604,0.01736055,0.02206217,0.017164654248222,0.0218132213562068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,927,"838,0000",56,Female,2.0,MP-928,0.98871604,0.01736055,0.02206217,0.017164654248222,0.0218132213562068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,830,"787,0000",56,Female,1.0,MP-831,0.98871604,0.01736055,0.02206217,0.017164654248222,0.0218132213562068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,469,"773,0000",34,Female,1.0,MP-470,0.98871604,0.0212639,0.02098562,0.021023959002956,0.0207488191033448
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,545,"940,0000",34,Female,1.0,MP-546,0.98871604,0.0212639,0.02098562,0.021023959002956,0.0207488191033448
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,84,"944,0000",98,Female,1.0,MP-85,0.98871604,1.776e-05,0.02046492,1.75595968704e-05,0.0202339946613168
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,515,"994,0000",93,Female,2.0,MP-516,0.98871604,7.172e-05,0.02046472,7.09107143888e-05,0.0202337969181088
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,696,"999,0000",93,Female,1.0,MP-697,0.98871604,7.172e-05,0.02046472,7.09107143888e-05,0.0202337969181088
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,340,"996,0000",90,Female,2.0,MP-341,0.98871604,0.00015705,0.02046418,0.000155277854082,0.0202332630114472
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,817,"995,0000",90,Female,1.0,MP-818,0.98871604,0.00015705,0.02046418,0.000155277854082,0.0202332630114472
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,584,"943,0000",86,Female,2.0,MP-585,0.98871604,0.00041352,0.02046141,0.0004088538568608,0.0202305242680164
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,1026,"30807,0000",83,Female,,MP-1027,0.98871604,0.00080021,0.02045459,0.0007911804623684,0.0202237812246236
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,517,"945,0000",80,Female,2.0,MP-518,0.98871604,0.00145465,0.02043668,0.001438235787586,0.020206073320347198
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,1062,"79362,0000",78,Female,,MP-1063,0.98871604,0.00208881,0.02041192,0.0020652399515124,0.0201815927111968
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,432,"993,0000",76,Female,2.0,MP-433,0.98871604,0.00291063,0.02036877,0.0028777865675052,0.0201389296140708
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,173,"841,0000",57,Female,2.0,MP-174,0.98871604,0.01676968,0.02029296,0.016580451601667198,0.0200639750510784
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,441,"753,0000",57,Female,1.0,MP-442,0.98871604,0.01676968,0.02029296,0.016580451601667198,0.0200639750510784
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,342,"997,0000",72,Female,2.0,MP-343,0.98871604,0.00516182,0.02017969,0.0051035742295928,0.0199519831852276
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,519,"941,0000",71,Female,2.0,MP-520,0.98871604,0.00584661,0.02009867,0.0057806370866244,0.0198718774116668
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,90,"1000,0000",71,Female,2.0,MP-91,0.98871604,0.00584661,0.02009867,0.0057806370866244,0.0198718774116668
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,45,"946,0000",69,Female,2.0,MP-46,0.98871604,0.00733922,0.0198767,0.0072564045350888,0.019652412112268
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,343,"998,0000",66,Female,1.0,MP-344,0.98871604,0.00979507,0.01934311,0.0096845428219228,0.0191248431204844
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,1038,"66731,0000",66,Female,,MP-1039,0.98871604,0.00979507,0.01934311,0.0096845428219228,0.0191248431204844
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,325,"942,0000",65,Female,2.0,MP-326,0.98871604,0.01064171,0.01909743,0.010521629370028401,0.0188819353637772
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,1051,"72547,0000",65,Female,,MP-1052,0.98871604,0.01064171,0.01909743,0.010521629370028401,0.0188819353637772
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,916,"900,0000",64,Female,1.0,MP-917,0.98871604,0.01148852,0.01881201,0.0113588839998608,0.0185997360316404
