Scenery,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood,Likelihood
FC,f,f,f,f,pf,pf,pf,pf,m,m,m,m,pm,pm,pm,pm,i,i,i,i
MP,m,f,o,u,m,f,o,u,m,f,o,u,m,f,o,u,m,f,o,u
Challenged,"0,04605263158","0,3289473684","0,2173913043",NA,"0,1315789474","0,4276315789","0,02173913043",NA,"0,3289473684","0,04605263158","0,2173913043",NA,"0,4276315789","0,1315789474","0,02173913043",NA,"0,06578947368","0,06578947368","0,5217391304",NA
Profesional,"0,008771929825","0,6578947368","0,3",NA,"0,01754385965","0,3070175439","0,1",NA,"0,6578947368","0,008771929825","0,3",NA,"0,3070175439","0,01754385965","0,1",NA,"0,008771929825","0,008771929825","0,2",NA
Low quality,"0,06403940887","0,1287553648","0,1428571429",NA,"0,2463054187","0,2575107296","0,25",NA,"0,1477832512","0,05579399142","0,03571428571",NA,"0,2955665025","0,2145922747","0,25",NA,"0,2463054187","0,3433476395","0,3214285714",NA
