FC,MP,likelihood
Adolescent,-1,0.0
Adolescent,0,0.0
Adolescent,1,0.0
Adolescent,2,0.0
Adolescent,3,0.0
Adolescent,4,0.0
Adolescent,5,0.0
Adolescent,6,6.661338147750939e-16
Adolescent,7,9.865877004244794e-10
Adolescent,8,3.167124183311998e-05
Adolescent,9,0.02275013194817921
Adolescent,10,0.5
Adolescent,11,0.9772498680518208
Adolescent,12,0.9999683287581669
Adolescent,13,0.9986184307265368
Adolescent,14,0.9986184307265368
Adolescent,15,0.9772495814002489
Adolescent,16,0.8413447450819553
Adolescent,17,0.4999999999987202
Adolescent,18,0.15865525393145646
Adolescent,19,0.02275013194817921
Adolescent,20,0.0013498980316301035
Adolescent,21,3.167124183311998e-05
Adolescent,22,2.8665157186802404e-07
Adolescent,23,0.008197436280332981
Adolescent,24,0.002555119612837664
Adolescent,25,0.0006871369513282155
Adolescent,26,0.00015910851246908608
Adolescent,27,0.022413202922717878
Adolescent,28,0.013744338968913772
Adolescent,29,0.008125187888687225
Adolescent,30,0.004629516783192598
Adolescent,31,0.0025417845816094885
Adolescent,32,0.0013444854877500642
Adolescent,33,0.0006850254832169473
Adolescent,34,0.00033613593752533644
Adolescent,35,0.00015882193858573264
Adolescent,36,7.224839966197209e-05
Adolescent,37,3.163792138460899e-05
Adolescent,38,1.3335031425643114e-05
Adolescent,39,5.409228161723515e-06
Adolescent,40,2.111468114851523e-06
Adolescent,41,7.930458361671278e-07
Adolescent,42,2.8657388340125323e-07
Adolescent,43,9.962370528526776e-08
Adolescent,44,3.3315217529139574e-08
Adolescent,45,1.0716310450131772e-08
Adolescent,46,0.001706706987191905
Adolescent,47,0.0012420993554642977
Adolescent,48,0.0008952556874918769
Adolescent,49,0.0006390418856070323
Adolescent,50,0.0004517531067661574
Adolescent,51,0.00031627194183121823
Adolescent,52,0.00021928351668023388
Adolescent,53,0.00015056888556469876
Adolescent,54,0.00010238740780278353
Adolescent,55,6.89506058110071e-05
Adolescent,56,4.598413848172389e-05
Adolescent,57,3.0370693842757072e-05
Adolescent,58,1.986444390258443e-05
Adolescent,59,1.2866831548644932e-05
Adolescent,60,8.253515302593868e-06
Adolescent,61,5.242969336090384e-06
Adolescent,62,3.2982674852564743e-06
Adolescent,63,2.054774866450061e-06
Adolescent,64,1.2676887056210843e-06
Adolescent,65,7.745187650738949e-07
Adolescent,66,4.686235793574134e-07
Adolescent,67,2.8079694447043014e-07
Adolescent,68,1.6662548946583276e-07
Adolescent,69,9.792150447005553e-08
Adolescent,70,5.699168570844544e-08
Adolescent,71,3.285140076633863e-08
Adolescent,72,1.8755168596305595e-08
Adolescent,73,1.060553653411706e-08
Adolescent,74,5.9403721458594425e-09
Adolescent,75,3.2960533573766146e-09
Adolescent,76,1.811802292083597e-09
Adolescent,77,9.867486485861677e-10
Adolescent,78,5.32515139590352e-10
Adolescent,79,2.848034888419768e-10
Adolescent,80,1.5097779817616226e-10
Adolescent,81,7.934315028558938e-11
Adolescent,82,4.134446945542422e-11
Adolescent,83,2.136619833696793e-11
Adolescent,84,1.0953107763108069e-11
Adolescent,85,5.571263954336434e-12
Adolescent,86,2.8124444656171177e-12
Adolescent,87,1.409413643729822e-12
Adolescent,88,7.013774542818472e-13
Adolescent,89,3.466822032632709e-13
Adolescent,90,1.7029200217553168e-13
Adolescent,91,8.313679587411454e-14
Adolescent,92,4.03579363461217e-14
Adolescent,93,1.9479232454773887e-14
Adolescent,94,9.408061913097394e-15
Adolescent,95,4.495724125389e-15
Adolescent,96,2.1173828890261906e-15
Adolescent,97,9.882042014706637e-16
Adolescent,98,4.791559841526805e-16
Adolescent,99,2.0566242567728349e-16
Adolescent,100,1.1102230246251565e-16
Adult,-1,0.0
Adult,0,0.0
Adult,1,0.0
Adult,2,0.0
Adult,3,0.0
Adult,4,0.0
Adult,5,0.0
Adult,6,0.0
Adult,7,0.0
Adult,8,0.0
Adult,9,0.0
Adult,10,0.0
Adult,11,0.0
Adult,12,0.0
Adult,13,2.866515718125129e-07
Adult,14,3.167124183311998e-05
Adult,15,0.0013498980316301035
Adult,16,0.02275013194817921
Adult,17,0.15865525393145707
Adult,18,0.5
Adult,19,0.8413447460685429
Adult,20,0.9772498680518208
Adult,21,0.9986501019683699
Adult,22,0.9999683287581669
Adult,23,0.9772498680518208
Adult,24,0.9918024640754038
Adult,25,0.9974448696695721
Adult,26,0.9993128620620841
Adult,27,0.9640696912195099
Adult,28,0.9772498712918319
Adult,29,0.9860965534580923
Adult,30,0.9918024643501744
Adult,31,0.9953388120330497
Adult,32,0.997444869612389
Adult,33,0.998650101691278
Adult,34,0.9993128610767754
Adult,35,0.9996630674188782
Adult,36,0.9998408806923204
Adult,37,0.9999276186356412
Adult,38,0.9999682291139068
Adult,39,0.999986367599413
Adult,40,0.9999937941279405
Adult,41,0.999995775090595
Adult,42,0.9999937941279403
Adult,43,0.9999863675994123
