R,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
Standard,0.0102,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,0,0.0307977736549165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000742115027829313,0.000371057513914656,0.00222634508348794,0.00185528756957328,0.00519480519480519,0.00333951762523191,0.00222634508348794,0.00371057513914656,0.00259740259740259,0.00408163265306122,0.00445269016697588,0.00408163265306122,0.00371057513914656,0.00371057513914656,0.00482374768089053,0.00482374768089053,0.00371057513914656,0.00222634508348794,0.00222634508348794,0.00333951762523191,0.00482374768089053,0.00371057513914656,0.00148423005565862,0.00296846011131725,0.00445269016697588,0.00111317254174397,0.00148423005565862,0.00482374768089053,0.00185528756957328,0.00296846011131725,0.00185528756957328,0.00667903525046382,0.0085343228200371,0.00890538033395176,0.0159554730983302,0.0218923933209647,0.0181818181818181,0.0170686456400742,0.0185528756957328,0.0181818181818181,0.0152133580705009,0.0159554730983302,0.0144712430426716,0.02152133580705,0.0189239332096474,0.0166975881261595,0.0189239332096474,0.0218923933209647,0.0178107606679035,0.0144712430426716,0.0148423005565862,0.0122448979591836,0.0174397031539888,0.0185528756957328,0.0163265306122449,0.0170686456400742,0.0159554730983302,0.0174397031539888,0.0152133580705009,0.0141001855287569,0.0103896103896103,0.011873840445269,0.011873840445269,0.00779220779220779,0.00742115027829313,0.0100185528756957,0.0137291280148423,0.0155844155844155,0.0166975881261595,0.0133580705009276,0.0159554730983302,0.0178107606679035,0.0170686456400742,0.00927643784786642,0.00964749536178107,0.0115027829313543,0.010760667903525,0.0163265306122449,0.0152133580705009,0.0185528756957328,0.0137291280148423,0.0115027829313543,0.0111317254174397,0.011873840445269,0.0111317254174397,0.00890538033395176,0.0100185528756957,0.00519480519480519,0.00482374768089053,0.00742115027829313,0.00482374768089053,0.00482374768089053,0.00408163265306122,0.00482374768089053,0.00667903525046382,0.00371057513914656,0.00296846011131725,0.00482374768089053,0.00296846011131725,0,0.00111317254174397,0.000371057513914656,0.00148423005565862,0.00111317254174397,0.000742115027829313,0.000371057513914656,0.000742115027829313,0.000371057513914656,0.00111317254174397,0,0.000371057513914656,0,0,0,0
